"run-type">"0">"7"
"Action-code">"7">"3"
"t104-plan-nbr">"10">"15"
"t104-plan-type-code">"25">"2"
"t104-plan-typ-code-desc">"27">"25"
"t104-effective-date">"52">"8"
"t104-effective-time">"60">"6"
"t104-expiration-date">"66">"8"
"t104-expiration-time">"74">"6"
"t104-pos-event-id">"80">"5"
"t104-description">"85">"100"
"t104-ad-event-code">"185">"8"
"t104-extra-discount-ind">"193">"1"
"t123-status-code">"194">"3"
"t123-status-code-desc">"197">"20"
"r102-dept-nbr">"217">"3"
"t110-id-promo-item-nbr">"220">"15"
"t110-promo-detail-type">"235">"1"
"t110-promo-desc">"236">"20"
"t111-id-cond-nbr">"256">"15"
"T111-ADJ-AMT">"271">"8"
"T111-ITEM-QTY">"279">"4"
"T111-REQ-PURCH-QTY">"283">"7"
"t111-from-dollar-amount">"290">"8"
"t111-to-dollar-amount">"298">"8"
"t111-promo-TIER-ID">"306">"15"
"t139-promo-tier-id">"321">"15"
"t139-promo-tier-seq">"336">"3"
"t112-id">"339">"15"
"t112-promo-level-ind">"354">"2"
"t112-adjustment-amount">"356">"8"
"t112-from-dollar-amount">"364">"8"
"t112-to-dollar-amount">"372">"8"
"r101-class-nbr">"380">"4"
"v101-vendor-nbr">"384">"7"
"i101-vendor-style">"391">"20"
"i102-vendor-color">"411">"3"
"i103-vendor-size">"414">"5"
"exclusions-exist-ind">"419">"1"
"price-ranges-exist-ind">"420">"1"
"t135-qualifier-type">"421">"5"
"t135-qualifier-item-level">"426">"1"
"t135-qualifier-phrase">"427">"25"
"t136-promo-disc-type">"452">"13"
"t136-promo-disc-item-level">"465">"1"
"t136-promo-disc-phrase">"466">"25"
"t137-tiered-type-code">"491">"7"
"t137-tiered-type-display">"498">"7"
"t104-promo-include-orig-ind">"505">"1"
"t104-promo-include-mkd-ind">"506">"1"
"t104-promo-include-mku-ind">"507">"1"
"t104-promo-include-mkdr-ind">"508">"1"
"t104-promo-include-muc-ind">"509">"1"
"t104-promo-include-mur-ind">"510">"1"
"t104-promo-apply-to-except-price-ind">"511">"1"
"t104-promo-include-pc-seq-operator">"512">"2"
"t104-promo-include-price-point-ind">"514">"1"
"t104-promo-include-price-end-ind">"515">"1"
"t104-price-ending">"516">"2"
"promo-sentence">"518">"60"
"t104-pc-seq-nbr">"578">"1"
